Timestamp                       Thread     Type        Activity             PID    TTL  
2023-03-01 20:40:06.210699+0800 0x2b7664   Default     0x2e77e3             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:40:30.711997+0800 0x2b7658   Default     0x0                  18842  0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 21:37:53.515954+0800 0x2b9c85   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 21:37:53.565660+0800 0x2b9c85   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 22:14:02.953361+0800 0x2bb3fe   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 22:14:03.523342+0800 0x2bb3fe   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 00:14:56.548237+0800 0x2bb9c2   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 00:14:56.560463+0800 0x2bb9c2   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 02:15:50.489672+0800 0x2bbfce   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 02:15:50.524881+0800 0x2bbfce   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 04:16:43.501820+0800 0x2bc48f   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 04:16:43.507970+0800 0x2bc48f   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 06:17:37.442893+0800 0x2bcc83   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 06:17:37.482024+0800 0x2bcc83   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 08:18:29.847280+0800 0x2bd100   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 08:18:30.424739+0800 0x2bd100   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 09:15:02.415737+0800 0x2bd37b   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 09:15:02.420983+0800 0x2bd37b   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 09:30:48.941657+0800 0x2bf936   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-02 09:30:49.122249+0800 0x2bf936   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
